,Dataset Name,Full Title,Year,Country,Details,Tasks,Category,N,EEG headset,channels,other modalities,Related Publication,dataset url,license
1,MAMEM SSVEP III,MAMEM SSVEP Database,2016,Greece,SSVEP benchmark measuring visual evoked potentials across flickering frequencies for BCI.,Gaze fixation on flickering visual frequencies (SSVEP),Brain-Computer Interface (BCI),11,EPOC,14-channel,,"Oikonomou, V.P., Liaros, G., Georgiadis, K., Chatzilari, E., Adam, K., Nikolopoulos, S., & Kompatsiaris, I. (2016). Comparative evaluation of state-of-the-art algorithms for SSVEP-based BCIs. arXiv:1602.00904.",https://physionet.org/content/mssvepdb/,CC-BY-4.0
2,MAMEM Multimodal HCI,A Multimodal dataset for authoring and editing multimedia content: The MAMEM project,2017,Greece,"EEG (mixed: lightweight Emotiv EPOC 14-ch for some subjects + heavyweight EBNeuro BePlus 62-ch for others) + eye-tracking + GSR + heart rate, from 34–36 subjects (able-bodied and motor-impaired) during gaze-controlled web browsing/authoring (GazeTheWeb)",Gaze-controlled web browsing and multimedia authoring; imaginary movement tasks,Brain-Computer Interface (BCI),36,Emotiv EPOC,14-channel,"Eye-tracking, GSR, Heart rate, 62-channel EEG","Nikolopoulos, S., Georgiadis, K., Kalaganis, F., Liaros, G., Lazarou, I., Adam, K., et al. (2017). A Multimodal dataset for authoring and editing multimedia content: The MAMEM project. Data in Brief, 15, 1048–1056. https://doi.org/10.1016/j.dib.2017.10.072",https://doi.org/10.6084/m9.figshare.5231053,CC-BY-4.0
3,Neuro-UOM VEP,Neuro-UOM VEP Dataset,2017,Sri Lanka,Open-source visual evoked potential dataset recorded during checkerboard visual stimulation.,Visual evoked potential (checkerboard pattern reversal),Brain-Computer Interface (BCI),10,EPOC,14-channel,,"<Blog Post>
https://dinukasal.medium.com/eeg-based-brain-computer-interface-bci-research-for-computer-science-79df11638f10",https://github.com/Neuro-UOM/dataset,
4,Epilepsy Guinea-Bissau & Nigeria,EEG data collected with Emotiv device in people with epilepsy and controls in Guinea-Bissau and Nigeria,2018,"Guinea-Bissau, Nigeria",Clinical EEG cohort comparing individuals with epilepsy and controls in West Africa. Sample inlcudes people with epilepsy (N=163) and healthy controls (N=138),Resting state (eyes open and eyes closed),Clinical & Neurological,301,EPOC,14-channel,,"van Hees, V. T., et al. (2018). Reliable and automatic epilepsy classification with affordable, consumer-grade electroencephalography in rural sub-Saharan Africa. bioRxiv, 324954.",https://zenodo.org/records/1252141,CC-BY-4.0
5,DREAMER,DREAMER: A Database for Emotion Recognition through EEG and ECG Signals from Wireless Low-cost Off-the-Shelf Devices,2018,United Kingdom,Benchmark multimodal database containing synchronized EEG and ECG during emotion video clips.,Emotion elicitation (viewing film clips with self-assessment),Affective Computing,23,EPOC,14-channel,ECG,"Katsigiannis, S., & Ramzan, N. (2018). DREAMER: A Database for Emotion Recognition through EEG and ECG Signals from Wireless Low-cost Off-the-Shelf Devices. IEEE Journal of Biomedical and Health Informatics, 22(1), 98–107.",https://zenodo.org/records/546113,
6,STEW,STEW: Simultaneous Task EEG Workload Dataset,2018,Singapore,Mental workload dataset recording cortical activity during baseline and multitasking SIMKAP tests.,Resting state and simultaneous multitasking (SIMKAP workload test),Cognitive Workload & Stress,48,EPOC,14-channel,,"Lim, W. L., et al. (2018). STEW: Simultaneous Task EEG Workload Dataset. IEEE Transactions on Neural Systems and Rehabilitation Engineering, 26(11), 2106–2114.",https://ieee-dataport.org/open-access/stew-simultaneous-task-eeg-workload-dataset,
7,Concept Semantic Relatedness,Data for: Measuring Concept Semantic Relatedness through Common Spatial Pattern Feature Extraction on EEG Signals,2018,Mexico,Cognitive semantics dataset analyzing spatial patterns during word pair relatedness judgments.,Semantic relatedness judgment of paired word stimuli,Cognitive & Language,18,EPOC,14-channel,,"Calvo, H., Paredes, J. L., & Figueroa-Nazuno, J. (2018). Measuring concept semantic relatedness through common spatial pattern feature extraction on EEG signals. Cognitive Systems Research, 50, 36-51. doi:10.1016/j.cogsys.2018.03.004",https://data.mendeley.com/datasets/shzz5kbsgy/1,CC BY NC 3.0
8,FEIS,Fourteen-channel EEG with Imagined Speech (FEIS) dataset,2019,United Kingdom,Imagined speech database recording covert and overt articulation of English phonemes and words.,Covert imagined speech and overt pronunciation of English phonemes/words,Speech & Language,21,EPOC,14-channel,,"Wellington, P., & Clayton, C. (2019). Fourteen-channel EEG with Imagined Speech (FEIS) dataset. arXiv preprint arXiv:1911.02636.",https://zenodo.org/records/3554128,ODC-BY-1.0
9,Fusion Relaxation & Concentration,EEG dataset of Fusion relaxation and concentration moods,2019,,EEG signals in two different mental status - concentration and relaxation,Relaxation → concentration/problem solving → eyes-closed relaxation,Emotion / Mental State,30,EPOC+,14-channel,,,Mendeley Data – 10.17632/8c26dn6c7w.1,CC BY 4.0
10,DIY Hybrid SSVEP-P300,DIY Hybrid SSVEP-P300 LED Stimuli for BCI Platform Using EMOTIV EEG Headset,2020,United Kingdom,Open-source hybrid BCI platform combining SSVEP and P300 visual stimuli with consumer EEG.,Hybrid SSVEP and P300 visual stimulation (flashing LED grid / visual target selection),Brain-Computer Interface (BCI),5,EPOC+,14-channel,,"Mouli, S., & Palaniappan, R. (2020). DIY Hybrid SSVEP-P300 LED Stimuli for BCI Platform Using EMOTIV EEG Headset. HardwareX, 8, e00113.",https://osf.io/8bc5s/,
